Strategy,Level,Stage,Goal,AverageClicks,MedianClicks,P10Clicks,P90Clicks,AverageCoinsAfterStage,MedianCoinsAfterStage,AveragePointsPerClick,AverageCoinChance,AverageCoinsPerDrop,AverageJackpotReward,AverageJackpotIncrement,AverageUpgradeSummary
"Points-first",1,1,100,60.00,60.00,60.00,60.00,4.00,4.00,3.00,0.00 %,1.00,5.00,0.1000,"P2 / C0 / % 0 / J0"
"Points-first",1,2,250,73.00,73.00,73.00,73.00,15.00,15.00,4.00,0.00 %,1.00,5.00,0.1000,"P3 / C0 / % 0 / J0"
"Points-first",1,3,500,110.00,110.00,110.00,110.00,33.00,33.00,5.00,0.00 %,1.00,5.00,0.1000,"P4 / C0 / % 0 / J0"
"Points-first",2,1,900,158.00,158.00,158.00,158.00,55.00,55.00,6.00,0.00 %,1.00,5.00,0.1000,"P5 / C0 / % 0 / J0"
"Points-first",2,2,1600,239.00,239.00,239.00,239.00,86.00,86.00,7.00,0.00 %,1.00,5.00,0.1000,"P6 / C0 / % 0 / J0"
"Points-first",2,3,3000,389.00,389.00,389.00,389.00,137.00,137.00,8.00,0.00 %,1.00,5.00,0.1000,"P7 / C0 / % 0 / J0"
"Points-first",3,1,5500,628.00,628.00,628.00,628.00,237.00,237.00,9.00,0.00 %,1.00,5.00,0.1000,"P8 / C0 / % 0 / J0"
"Points-first",3,2,10000,1020.00,1020.00,1020.00,1020.00,414.00,414.00,10.00,0.00 %,1.00,5.00,0.1000,"P9 / C0 / % 0 / J0"
"Points-first",3,3,18000,1655.00,1655.00,1655.00,1655.00,728.00,728.00,11.00,0.00 %,1.00,5.00,0.1000,"P10 / C0 / % 0 / J0"
"Economy-first",1,1,100,100.00,100.00,100.00,100.00,29.00,29.00,1.00,54.00 %,1.00,5.00,0.1000,"P0 / C0 / % 3 / J0"
"Economy-first",1,2,250,250.00,250.00,250.00,250.00,89.00,89.00,1.00,100.00 %,6.00,5.00,0.1000,"P0 / C5 / % 6 / J0"
"Economy-first",1,3,500,500.00,500.00,500.00,500.00,632.00,632.00,1.00,100.00 %,11.00,5.00,0.1000,"P0 / C10 / % 6 / J0"
"Economy-first",2,1,900,900.00,900.00,900.00,900.00,4048.00,4048.00,1.00,100.00 %,13.00,5.00,0.1000,"P0 / C12 / % 6 / J0"
"Economy-first",2,2,1600,1600.00,1600.00,1600.00,1600.00,5731.00,5731.00,1.00,100.00 %,15.00,5.00,0.1000,"P0 / C14 / % 6 / J0"
"Economy-first",2,3,3000,3000.00,3000.00,3000.00,3000.00,31998.00,31998.00,1.00,100.00 %,16.00,5.00,0.1000,"P0 / C15 / % 6 / J0"
"Economy-first",3,1,5500,5500.00,5500.00,5500.00,5500.00,32794.00,32794.00,1.00,100.00 %,18.00,5.00,0.1000,"P0 / C17 / % 6 / J0"
"Economy-first",3,2,10000,10000.00,10000.00,10000.00,10000.00,124583.00,124583.00,1.00,100.00 %,19.00,5.00,0.1000,"P0 / C18 / % 6 / J0"
"Economy-first",3,3,18000,18000.00,18000.00,18000.00,18000.00,58778.00,58778.00,1.00,100.00 %,21.00,5.00,0.1000,"P0 / C20 / % 6 / J0"
"Jackpot-first",1,1,100,100.00,100.00,100.00,100.00,8.00,8.00,1.00,0.00 %,1.00,8.00,0.0800,"P0 / C0 / % 0 / J1"
"Jackpot-first",1,2,250,250.00,250.00,250.00,250.00,108.00,108.00,1.00,0.00 %,1.00,12.00,0.0600,"P0 / C0 / % 0 / J2"
"Jackpot-first",1,3,500,500.00,500.00,500.00,500.00,111.00,111.00,1.00,0.00 %,1.00,27.00,0.0300,"P0 / C0 / % 0 / J4"
"Jackpot-first",2,1,900,900.00,900.00,900.00,900.00,415.00,415.00,1.00,0.00 %,1.00,40.00,0.0200,"P0 / C0 / % 0 / J5"
"Jackpot-first",2,2,1600,1600.00,1600.00,1600.00,1600.00,39.00,39.00,1.00,0.00 %,1.00,90.00,0.0200,"P0 / C0 / % 0 / J7"
"Jackpot-first",2,3,3000,3000.00,3000.00,3000.00,3000.00,67.00,67.00,1.00,0.00 %,1.00,202.00,0.0200,"P0 / C0 / % 0 / J9"
"Jackpot-first",3,1,5500,5500.00,5500.00,5500.00,5500.00,10715.00,10715.00,1.00,0.00 %,1.00,454.00,0.0200,"P0 / C0 / % 0 / J11"
"Jackpot-first",3,2,10000,10000.00,10000.00,10000.00,10000.00,25519.00,25519.00,1.00,0.00 %,1.00,1533.00,0.0200,"P0 / C0 / % 0 / J14"
"Jackpot-first",3,3,18000,18000.00,18000.00,18000.00,18000.00,104726.00,104726.00,1.00,0.00 %,1.00,5175.00,0.0200,"P0 / C0 / % 0 / J17"
"Balanced",1,1,100,60.00,60.00,60.00,60.00,4.00,4.00,3.00,0.00 %,1.00,5.00,0.1000,"P2 / C0 / % 0 / J0"
"Balanced",1,2,250,73.00,73.00,73.00,73.00,15.00,15.00,4.00,0.00 %,1.00,5.00,0.1000,"P3 / C0 / % 0 / J0"
"Balanced",1,3,500,110.00,110.00,110.00,110.00,33.00,33.00,5.00,0.00 %,1.00,5.00,0.1000,"P4 / C0 / % 0 / J0"
"Balanced",2,1,900,158.00,158.00,158.00,158.00,55.00,55.00,6.00,0.00 %,1.00,5.00,0.1000,"P5 / C0 / % 0 / J0"
"Balanced",2,2,1600,239.00,239.00,239.00,239.00,86.00,86.00,7.00,0.00 %,1.00,5.00,0.1000,"P6 / C0 / % 0 / J0"
"Balanced",2,3,3000,389.00,389.00,389.00,389.00,137.00,137.00,8.00,0.00 %,1.00,5.00,0.1000,"P7 / C0 / % 0 / J0"
"Balanced",3,1,5500,628.00,628.00,628.00,628.00,237.00,237.00,9.00,0.00 %,1.00,5.00,0.1000,"P8 / C0 / % 0 / J0"
"Balanced",3,2,10000,1020.00,1020.00,1020.00,1020.00,414.00,414.00,10.00,0.00 %,1.00,5.00,0.1000,"P9 / C0 / % 0 / J0"
"Balanced",3,3,18000,1655.00,1655.00,1655.00,1655.00,728.00,728.00,11.00,0.00 %,1.00,5.00,0.1000,"P10 / C0 / % 0 / J0"
